Variant,Dataset,Resolution,PSNR,SSIM,GateFidelity,InformationLoss
AQIR-ADS,braintumor,4x4,28.937,0.96,0.887,0.04
AQIR-NoGrad,braintumor,4x4,35.107,0.989,0.887,0.011
AQIR-FixedRot,braintumor,4x4,7.742,-0.003,0.887,1.003
AQIR-Deep,braintumor,4x4,24.684,0.888,0.887,0.112
AQIR-ADS,braintumor,2x2,46.37,0.981,0.98,0.019
AQIR-NoGrad,braintumor,2x2,43.737,0.965,0.98,0.035
AQIR-FixedRot,braintumor,2x2,7.999,0.349,0.98,0.651
AQIR-Deep,braintumor,2x2,38.711,0.889,0.98,0.111
AQIR-ADS,braintumor,4x4,30.976,0.953,0.887,0.047
AQIR-NoGrad,braintumor,4x4,32.262,0.959,0.887,0.041
AQIR-FixedRot,braintumor,4x4,7.849,0.061,0.887,0.939
AQIR-Deep,braintumor,4x4,23.327,0.757,0.887,0.243
AQIR-ADS,braintumor,2x2,45.7,0.98,0.98,0.02
AQIR-NoGrad,braintumor,2x2,46.37,0.979,0.98,0.021
AQIR-FixedRot,braintumor,2x2,7.644,0.303,0.98,0.697
AQIR-Deep,braintumor,2x2,44.609,0.972,0.98,0.028
AQIR-ADS,braintumor,4x4,32.076,0.941,0.887,0.059
AQIR-NoGrad,braintumor,4x4,31.491,0.913,0.887,0.087
AQIR-FixedRot,braintumor,4x4,7.442,0.006,0.887,0.994
AQIR-Deep,braintumor,4x4,21.56,0.503,0.887,0.497
AQIR-ADS,braintumor,2x2,48.131,0.987,0.98,0.013
AQIR-NoGrad,braintumor,2x2,51.141,0.996,0.98,0.004
AQIR-FixedRot,braintumor,2x2,8.043,0.358,0.98,0.642
AQIR-Deep,braintumor,2x2,39.838,0.899,0.98,0.101
AQIR-ADS,braintumor,4x4,35.81,0.978,0.887,0.022
AQIR-NoGrad,braintumor,4x4,31.623,0.941,0.887,0.059
AQIR-FixedRot,braintumor,4x4,8.103,-0.056,0.887,1.056
AQIR-Deep,braintumor,4x4,25.201,0.821,0.887,0.179
AQIR-ADS,braintumor,2x2,44.609,0.974,0.98,0.026
AQIR-NoGrad,braintumor,2x2,48.131,0.988,0.98,0.012
AQIR-FixedRot,braintumor,2x2,7.685,0.321,0.98,0.679
AQIR-Deep,braintumor,2x2,44.609,0.988,0.98,0.012
AQIR-ADS,braintumor,4x4,31.034,0.952,0.887,0.048
AQIR-NoGrad,braintumor,4x4,29.227,0.919,0.887,0.081
AQIR-FixedRot,braintumor,4x4,7.663,0.053,0.887,0.947
AQIR-Deep,braintumor,4x4,26.437,0.89,0.887,0.11
AQIR-ADS,braintumor,2x2,38.588,0.928,0.98,0.072
AQIR-NoGrad,braintumor,2x2,45.7,0.98,0.98,0.02
AQIR-FixedRot,braintumor,2x2,8.022,0.359,0.98,0.641
AQIR-Deep,braintumor,2x2,40.002,0.911,0.98,0.089
AQIR-ADS,braintumor,4x4,30.039,0.959,0.887,0.041
AQIR-NoGrad,braintumor,4x4,30.639,0.958,0.887,0.042
AQIR-FixedRot,braintumor,4x4,7.543,0.049,0.887,0.951
AQIR-Deep,braintumor,4x4,23.201,0.852,0.887,0.148
AQIR-ADS,braintumor,2x2,40.534,0.985,0.98,0.015
AQIR-NoGrad,braintumor,2x2,45.7,0.996,0.98,0.004
AQIR-FixedRot,braintumor,2x2,8.174,0.403,0.98,0.597
AQIR-Deep,braintumor,2x2,32.508,0.664,0.98,0.336
AQIR-ADS,braintumor,4x4,31.647,0.959,0.887,0.041
AQIR-NoGrad,braintumor,4x4,33.122,0.968,0.887,0.032
AQIR-FixedRot,braintumor,4x4,7.577,0.07,0.887,0.93
AQIR-Deep,braintumor,4x4,25.0,0.855,0.887,0.145
AQIR-ADS,braintumor,2x2,44.609,0.974,0.98,0.026
AQIR-NoGrad,braintumor,2x2,41.599,0.962,0.98,0.038
AQIR-FixedRot,braintumor,2x2,8.173,0.387,0.98,0.613
AQIR-Deep,braintumor,2x2,36.827,0.817,0.98,0.183
AQIR-ADS,braintumor,4x4,29.814,0.947,0.887,0.053
AQIR-NoGrad,braintumor,4x4,31.251,0.953,0.887,0.047
AQIR-FixedRot,braintumor,4x4,7.771,0.021,0.887,0.979
AQIR-Deep,braintumor,4x4,26.136,0.888,0.887,0.112
AQIR-ADS,braintumor,2x2,49.38,0.988,0.98,0.012
AQIR-NoGrad,braintumor,2x2,49.38,0.989,0.98,0.011
AQIR-FixedRot,braintumor,2x2,8.022,0.356,0.98,0.644
AQIR-Deep,braintumor,2x2,38.966,0.896,0.98,0.104
AQIR-ADS,braintumor,4x4,32.946,0.961,0.887,0.039
AQIR-NoGrad,braintumor,4x4,31.268,0.932,0.887,0.068
AQIR-FixedRot,braintumor,4x4,7.65,0.03,0.887,0.97
AQIR-Deep,braintumor,4x4,25.999,0.817,0.887,0.183
AQIR-ADS,braintumor,2x2,47.162,0.981,0.98,0.019
AQIR-NoGrad,braintumor,2x2,43.012,0.957,0.98,0.043
AQIR-FixedRot,braintumor,2x2,7.665,0.32,0.98,0.68
AQIR-Deep,braintumor,2x2,42.69,0.95,0.98,0.05
AQIR-ADS,braintumor,4x4,29.846,0.906,0.887,0.094
AQIR-NoGrad,braintumor,4x4,32.312,0.944,0.887,0.056
AQIR-FixedRot,braintumor,4x4,7.566,0.007,0.887,0.993
AQIR-Deep,braintumor,4x4,25.791,0.799,0.887,0.201
AQIR-ADS,braintumor,2x2,49.38,0.988,0.98,0.012
AQIR-NoGrad,braintumor,2x2,41.599,0.944,0.98,0.056
AQIR-FixedRot,braintumor,2x2,7.462,0.273,0.98,0.727
AQIR-Deep,braintumor,2x2,39.38,0.901,0.98,0.099
AQIR-ADS,braintumor,4x4,29.649,0.878,0.887,0.122
AQIR-NoGrad,braintumor,4x4,33.288,0.935,0.887,0.065
AQIR-FixedRot,braintumor,4x4,7.34,-0.003,0.887,1.003
AQIR-Deep,braintumor,4x4,26.797,0.797,0.887,0.203
AQIR-ADS,braintumor,2x2,45.7,0.974,0.98,0.026
AQIR-NoGrad,braintumor,2x2,45.7,0.981,0.98,0.019
AQIR-FixedRot,braintumor,2x2,7.603,0.29,0.98,0.71
AQIR-Deep,braintumor,2x2,48.131,0.987,0.98,0.013
AQIR-ADS,braintumor,4x4,31.462,0.929,0.887,0.071
AQIR-NoGrad,braintumor,4x4,32.312,0.932,0.887,0.068
AQIR-FixedRot,braintumor,4x4,7.477,0.06,0.887,0.94
AQIR-Deep,braintumor,4x4,24.568,0.72,0.887,0.28
AQIR-ADS,braintumor,2x2,49.38,0.988,0.98,0.012
AQIR-NoGrad,braintumor,2x2,47.162,0.98,0.98,0.02
AQIR-FixedRot,braintumor,2x2,7.563,0.303,0.98,0.697
AQIR-Deep,braintumor,2x2,47.162,0.988,0.98,0.012
AQIR-ADS,braintumor,4x4,32.864,0.956,0.887,0.044
AQIR-NoGrad,braintumor,4x4,32.172,0.944,0.887,0.056
AQIR-FixedRot,braintumor,4x4,7.718,0.03,0.887,0.97
AQIR-Deep,braintumor,4x4,31.746,0.935,0.887,0.065
AQIR-ADS,braintumor,2x2,44.151,0.974,0.98,0.026
AQIR-NoGrad,braintumor,2x2,51.141,0.996,0.98,0.004
AQIR-FixedRot,braintumor,2x2,7.685,0.302,0.98,0.698
AQIR-Deep,braintumor,2x2,41.599,0.938,0.98,0.062
AQIR-ADS,braintumor,4x4,28.767,0.911,0.887,0.089
AQIR-NoGrad,braintumor,4x4,30.441,0.919,0.887,0.081
AQIR-FixedRot,braintumor,4x4,7.44,0.003,0.887,0.997
AQIR-Deep,braintumor,4x4,27.901,0.869,0.887,0.131
AQIR-ADS,braintumor,2x2,51.141,0.993,0.98,0.007
AQIR-NoGrad,braintumor,2x2,41.141,0.983,0.98,0.017
AQIR-FixedRot,braintumor,2x2,8.284,0.413,0.98,0.587
AQIR-Deep,braintumor,2x2,43.012,0.972,0.98,0.028
AQIR-ADS,braintumor,4x4,31.647,0.948,0.887,0.052
AQIR-NoGrad,braintumor,4x4,32.729,0.959,0.887,0.041
AQIR-FixedRot,braintumor,4x4,7.804,-0.03,0.887,1.03
AQIR-Deep,braintumor,4x4,26.465,0.849,0.887,0.151
AQIR-ADS,braintumor,2x2,51.141,0.996,0.98,0.004
AQIR-NoGrad,braintumor,2x2,43.737,0.967,0.98,0.033
AQIR-FixedRot,braintumor,2x2,8.172,0.373,0.98,0.627
AQIR-Deep,braintumor,2x2,35.891,0.817,0.98,0.183
AQIR-ADS,braintumor,4x4,28.686,0.934,0.887,0.066
AQIR-NoGrad,braintumor,4x4,31.185,0.956,0.887,0.044
AQIR-FixedRot,braintumor,4x4,7.826,-0.009,0.887,1.009
AQIR-Deep,braintumor,4x4,25.289,0.856,0.887,0.144
AQIR-ADS,braintumor,2x2,45.7,0.996,0.98,0.004
AQIR-NoGrad,braintumor,2x2,41.599,0.952,0.98,0.048
AQIR-FixedRot,braintumor,2x2,8.235,0.356,0.98,0.644
AQIR-Deep,braintumor,2x2,38.131,0.87,0.98,0.13
AQIR-ADS,braintumor,4x4,30.082,0.96,0.887,0.04
AQIR-NoGrad,braintumor,4x4,29.182,0.944,0.887,0.056
AQIR-FixedRot,braintumor,4x4,7.717,0.144,0.887,0.856
AQIR-Deep,braintumor,4x4,25.319,0.885,0.887,0.115
AQIR-ADS,braintumor,2x2,45.121,0.97,0.98,0.03
AQIR-NoGrad,braintumor,2x2,44.151,0.965,0.98,0.035
AQIR-FixedRot,braintumor,2x2,8.239,0.417,0.98,0.583
AQIR-Deep,braintumor,2x2,41.364,0.927,0.98,0.073
AQIR-ADS,braintumor,4x4,31.545,0.958,0.887,0.042
AQIR-NoGrad,braintumor,4x4,29.806,0.917,0.887,0.083
AQIR-FixedRot,braintumor,4x4,8.287,0.031,0.887,0.969
AQIR-Deep,braintumor,4x4,23.554,0.799,0.887,0.201
AQIR-ADS,braintumor,2x2,47.162,0.981,0.98,0.019
AQIR-NoGrad,braintumor,2x2,44.609,0.974,0.98,0.026
AQIR-FixedRot,braintumor,2x2,8.528,0.42,0.98,0.58
AQIR-Deep,braintumor,2x2,38.588,0.86,0.98,0.14
AQIR-ADS,braintumor,4x4,28.885,0.934,0.887,0.066
AQIR-NoGrad,braintumor,4x4,31.666,0.96,0.887,0.04
AQIR-FixedRot,braintumor,4x4,7.982,-0.017,0.887,1.017
AQIR-Deep,braintumor,4x4,24.065,0.802,0.887,0.198
AQIR-ADS,braintumor,2x2,42.39,0.987,0.98,0.013
AQIR-NoGrad,braintumor,2x2,42.69,0.979,0.98,0.021
AQIR-FixedRot,braintumor,2x2,8.239,0.402,0.98,0.598
AQIR-Deep,braintumor,2x2,44.609,0.966,0.98,0.034
AQIR-ADS,braintumor,4x4,29.509,0.939,0.887,0.061
AQIR-NoGrad,braintumor,4x4,32.248,0.957,0.887,0.043
AQIR-FixedRot,braintumor,4x4,8.126,0.139,0.887,0.861
AQIR-Deep,braintumor,4x4,25.76,0.833,0.887,0.167
AQIR-ADS,braintumor,2x2,54.151,0.997,0.98,0.003
AQIR-NoGrad,braintumor,2x2,54.151,0.997,0.98,0.003
AQIR-FixedRot,braintumor,2x2,8.064,0.361,0.98,0.639
AQIR-Deep,braintumor,2x2,40.172,0.977,0.98,0.023
AQIR-ADS,braintumor,4x4,28.805,0.92,0.887,0.08
AQIR-NoGrad,braintumor,4x4,30.548,0.937,0.887,0.063
AQIR-FixedRot,braintumor,4x4,8.062,0.094,0.887,0.906
AQIR-Deep,braintumor,4x4,24.117,0.814,0.887,0.186
AQIR-ADS,braintumor,2x2,48.131,0.987,0.98,0.013
AQIR-NoGrad,braintumor,2x2,42.39,0.966,0.98,0.034
AQIR-FixedRot,braintumor,2x2,8.001,0.361,0.98,0.639
AQIR-Deep,braintumor,2x2,39.838,0.968,0.98,0.032
AQIR-ADS,braintumor,4x4,31.212,0.941,0.887,0.059
AQIR-NoGrad,braintumor,4x4,33.898,0.968,0.887,0.032
AQIR-FixedRot,braintumor,4x4,7.542,-0.037,0.887,1.037
AQIR-Deep,braintumor,4x4,24.862,0.802,0.887,0.198
AQIR-ADS,braintumor,2x2,49.38,0.989,0.98,0.011
AQIR-NoGrad,braintumor,2x2,54.151,0.997,0.98,0.003
AQIR-FixedRot,braintumor,2x2,8.065,0.368,0.98,0.632
AQIR-Deep,braintumor,2x2,42.39,0.986,0.98,0.014
AQIR-ADS,braintumor,4x4,30.878,0.937,0.887,0.063
AQIR-NoGrad,braintumor,4x4,33.387,0.963,0.887,0.037
AQIR-FixedRot,braintumor,4x4,8.094,0.1,0.887,0.9
AQIR-Deep,braintumor,4x4,23.664,0.796,0.887,0.204
AQIR-ADS,braintumor,2x2,44.609,0.987,0.98,0.013
AQIR-NoGrad,braintumor,2x2,43.36,0.955,0.98,0.045
AQIR-FixedRot,braintumor,2x2,8.044,0.376,0.98,0.624
AQIR-Deep,braintumor,2x2,39.527,0.893,0.98,0.107
AQIR-ADS,braintumor,4x4,30.039,0.933,0.887,0.067
AQIR-NoGrad,braintumor,4x4,30.367,0.929,0.887,0.071
AQIR-FixedRot,braintumor,4x4,7.978,0.076,0.887,0.924
AQIR-Deep,braintumor,4x4,21.999,0.654,0.887,0.346
AQIR-ADS,braintumor,2x2,45.121,0.983,0.98,0.017
AQIR-NoGrad,braintumor,2x2,42.69,0.978,0.98,0.022
AQIR-FixedRot,braintumor,2x2,8.217,0.402,0.98,0.598
AQIR-Deep,braintumor,2x2,34.42,0.931,0.98,0.069
AQIR-ADS,braintumor,4x4,27.482,0.904,0.887,0.096
AQIR-NoGrad,braintumor,4x4,31.784,0.955,0.887,0.045
AQIR-FixedRot,braintumor,4x4,7.744,-0.006,0.887,1.006
AQIR-Deep,braintumor,4x4,23.471,0.753,0.887,0.247
AQIR-ADS,braintumor,2x2,40.172,0.931,0.98,0.069
AQIR-NoGrad,braintumor,2x2,44.151,0.964,0.98,0.036
AQIR-FixedRot,braintumor,2x2,8.238,0.381,0.98,0.619
AQIR-Deep,braintumor,2x2,47.162,0.982,0.98,0.018
AQIR-ADS,braintumor,4x4,29.557,0.948,0.887,0.052
AQIR-NoGrad,braintumor,4x4,36.708,0.987,0.887,0.013
AQIR-FixedRot,braintumor,4x4,7.877,0.055,0.887,0.945
AQIR-Deep,braintumor,4x4,22.345,0.748,0.887,0.252
AQIR-ADS,braintumor,2x2,46.37,0.979,0.98,0.021
AQIR-NoGrad,braintumor,2x2,43.012,0.971,0.98,0.029
AQIR-FixedRot,braintumor,2x2,8.196,0.407,0.98,0.593
AQIR-Deep,braintumor,2x2,40.172,0.9,0.98,0.1
AQIR-ADS,braintumor,4x4,32.913,0.972,0.887,0.028
AQIR-NoGrad,braintumor,4x4,34.87,0.981,0.887,0.019
AQIR-FixedRot,braintumor,4x4,7.675,0.022,0.887,0.978
AQIR-Deep,braintumor,4x4,26.977,0.881,0.887,0.119
AQIR-ADS,braintumor,2x2,43.737,0.964,0.98,0.036
AQIR-NoGrad,braintumor,2x2,49.38,0.989,0.98,0.011
AQIR-FixedRot,braintumor,2x2,7.623,0.302,0.98,0.698
AQIR-Deep,braintumor,2x2,38.966,0.921,0.98,0.079
AQIR-ADS,braintumor,4x4,32.097,0.963,0.887,0.037
AQIR-NoGrad,braintumor,4x4,29.85,0.933,0.887,0.067
AQIR-FixedRot,braintumor,4x4,7.192,-0.018,0.887,1.018
AQIR-Deep,braintumor,4x4,27.225,0.895,0.887,0.105
AQIR-ADS,braintumor,2x2,41.847,0.94,0.98,0.06
AQIR-NoGrad,braintumor,2x2,51.141,0.992,0.98,0.008
AQIR-FixedRot,braintumor,2x2,7.937,0.375,0.98,0.625
AQIR-Deep,braintumor,2x2,37.619,0.981,0.98,0.019
AQIR-ADS,braintumor,4x4,29.498,0.929,0.887,0.071
AQIR-NoGrad,braintumor,4x4,29.794,0.936,0.887,0.064
AQIR-FixedRot,braintumor,4x4,7.62,-0.011,0.887,1.011
AQIR-Deep,braintumor,4x4,25.353,0.806,0.887,0.194
AQIR-ADS,braintumor,2x2,44.151,0.994,0.98,0.006
AQIR-NoGrad,braintumor,2x2,42.39,0.986,0.98,0.014
AQIR-FixedRot,braintumor,2x2,7.959,0.365,0.98,0.635
AQIR-Deep,braintumor,2x2,36.748,0.901,0.98,0.099
AQIR-ADS,braintumor,4x4,28.328,0.911,0.887,0.089
AQIR-NoGrad,braintumor,4x4,30.372,0.927,0.887,0.073
AQIR-FixedRot,braintumor,4x4,7.625,0.095,0.887,0.905
AQIR-Deep,braintumor,4x4,24.051,0.741,0.887,0.259
AQIR-ADS,braintumor,2x2,47.162,0.98,0.98,0.02
AQIR-NoGrad,braintumor,2x2,45.7,0.972,0.98,0.028
AQIR-FixedRot,braintumor,2x2,7.725,0.323,0.98,0.677
AQIR-Deep,braintumor,2x2,37.076,0.835,0.98,0.165
AQIR-ADS,braintumor,4x4,30.997,0.95,0.887,0.05
AQIR-NoGrad,braintumor,4x4,30.34,0.931,0.887,0.069
AQIR-FixedRot,braintumor,4x4,7.461,0.086,0.887,0.914
AQIR-Deep,braintumor,4x4,22.292,0.714,0.887,0.286
AQIR-ADS,braintumor,2x2,43.012,0.949,0.98,0.051
AQIR-NoGrad,braintumor,2x2,43.012,0.97,0.98,0.03
AQIR-FixedRot,braintumor,2x2,7.727,0.339,0.98,0.661
AQIR-Deep,braintumor,2x2,38.131,0.869,0.98,0.131
AQIR-ADS,braintumor,4x4,29.165,0.93,0.887,0.07
AQIR-NoGrad,braintumor,4x4,31.218,0.937,0.887,0.063
AQIR-FixedRot,braintumor,4x4,7.651,-0.029,0.887,1.029
AQIR-Deep,braintumor,4x4,22.66,0.769,0.887,0.231
AQIR-ADS,braintumor,2x2,51.141,0.996,0.98,0.004
AQIR-NoGrad,braintumor,2x2,45.7,0.972,0.98,0.028
AQIR-FixedRot,braintumor,2x2,7.81,0.317,0.98,0.683
AQIR-Deep,braintumor,2x2,40.727,0.972,0.98,0.028
AQIR-ADS,braintumor,4x4,32.888,0.961,0.887,0.039
AQIR-NoGrad,braintumor,4x4,33.288,0.959,0.887,0.041
AQIR-FixedRot,braintumor,4x4,7.533,-0.013,0.887,1.013
AQIR-Deep,braintumor,4x4,27.071,0.859,0.887,0.141
AQIR-ADS,braintumor,2x2,43.36,0.967,0.98,0.033
AQIR-NoGrad,braintumor,2x2,48.131,0.987,0.98,0.013
AQIR-FixedRot,braintumor,2x2,7.706,0.323,0.98,0.677
AQIR-Deep,braintumor,2x2,38.241,0.872,0.98,0.128
AQIR-ADS,braintumor,4x4,30.367,0.936,0.887,0.064
AQIR-NoGrad,braintumor,4x4,33.02,0.955,0.887,0.045
AQIR-FixedRot,braintumor,4x4,7.509,0.076,0.887,0.924
AQIR-Deep,braintumor,4x4,27.747,0.859,0.887,0.141
AQIR-ADS,braintumor,2x2,42.39,0.962,0.98,0.038
AQIR-NoGrad,braintumor,2x2,49.38,0.988,0.98,0.012
AQIR-FixedRot,braintumor,2x2,7.916,0.356,0.98,0.644
AQIR-Deep,braintumor,2x2,44.151,0.964,0.98,0.036
AQIR-ADS,braintumor,4x4,35.794,0.981,0.887,0.019
AQIR-NoGrad,braintumor,4x4,33.235,0.965,0.887,0.035
AQIR-FixedRot,braintumor,4x4,7.824,0.037,0.887,0.963
AQIR-Deep,braintumor,4x4,25.94,0.823,0.887,0.177
AQIR-ADS,braintumor,2x2,47.162,0.988,0.98,0.012
AQIR-NoGrad,braintumor,2x2,49.38,0.989,0.98,0.011
AQIR-FixedRot,braintumor,2x2,7.958,0.353,0.98,0.647
AQIR-Deep,braintumor,2x2,37.817,0.858,0.98,0.142
AQIR-ADS,braintumor,4x4,30.052,0.949,0.887,0.051
AQIR-NoGrad,braintumor,4x4,27.724,0.882,0.887,0.118
AQIR-FixedRot,braintumor,4x4,7.769,0.045,0.887,0.955
AQIR-Deep,braintumor,4x4,23.427,0.802,0.887,0.198
AQIR-ADS,braintumor,2x2,44.609,0.971,0.98,0.029
AQIR-NoGrad,braintumor,2x2,49.38,0.991,0.98,0.009
AQIR-FixedRot,braintumor,2x2,8.19,0.333,0.98,0.667
AQIR-Deep,braintumor,2x2,49.38,0.99,0.98,0.01
AQIR-ADS,braintumor,4x4,32.56,0.976,0.887,0.024
AQIR-NoGrad,braintumor,4x4,31.404,0.959,0.887,0.041
AQIR-FixedRot,braintumor,4x4,7.773,-0.055,0.887,1.055
AQIR-Deep,braintumor,4x4,25.85,0.855,0.887,0.145
AQIR-ADS,braintumor,2x2,46.37,0.981,0.98,0.019
AQIR-NoGrad,braintumor,2x2,44.609,0.972,0.98,0.028
AQIR-FixedRot,braintumor,2x2,7.894,0.35,0.98,0.65
AQIR-Deep,braintumor,2x2,39.38,0.924,0.98,0.076
AQIR-ADS,braintumor,4x4,29.862,0.923,0.887,0.077
AQIR-NoGrad,braintumor,4x4,31.039,0.937,0.887,0.063
AQIR-FixedRot,braintumor,4x4,7.982,0.082,0.887,0.918
AQIR-Deep,braintumor,4x4,24.107,0.759,0.887,0.241
AQIR-ADS,braintumor,2x2,45.7,0.995,0.98,0.005
AQIR-NoGrad,braintumor,2x2,51.141,0.992,0.98,0.008
AQIR-FixedRot,braintumor,2x2,7.748,0.322,0.98,0.678
AQIR-Deep,braintumor,2x2,41.847,0.939,0.98,0.061
AQIR-ADS,braintumor,4x4,28.745,0.904,0.887,0.096
AQIR-NoGrad,braintumor,4x4,29.641,0.911,0.887,0.089
AQIR-FixedRot,braintumor,4x4,7.316,0.043,0.887,0.957
AQIR-Deep,braintumor,4x4,25.503,0.801,0.887,0.199
AQIR-ADS,braintumor,2x2,51.141,0.992,0.98,0.008
AQIR-NoGrad,braintumor,2x2,40.929,0.929,0.98,0.071
AQIR-FixedRot,braintumor,2x2,7.664,0.296,0.98,0.704
AQIR-Deep,braintumor,2x2,44.151,0.974,0.98,0.026
AQIR-ADS,braintumor,4x4,28.911,0.9,0.887,0.1
AQIR-NoGrad,braintumor,4x4,34.883,0.967,0.887,0.033
AQIR-FixedRot,braintumor,4x4,7.639,0.042,0.887,0.958
AQIR-Deep,braintumor,4x4,27.505,0.87,0.887,0.13
AQIR-ADS,braintumor,2x2,46.37,0.979,0.98,0.021
AQIR-NoGrad,braintumor,2x2,48.131,0.988,0.98,0.012
AQIR-FixedRot,braintumor,2x2,7.707,0.337,0.98,0.663
AQIR-Deep,braintumor,2x2,42.69,0.946,0.98,0.054
AQIR-ADS,braintumor,4x4,29.213,0.92,0.887,0.08
AQIR-NoGrad,braintumor,4x4,33.071,0.959,0.887,0.041
AQIR-FixedRot,braintumor,4x4,7.585,0.047,0.887,0.953
AQIR-Deep,braintumor,4x4,28.986,0.91,0.887,0.09
AQIR-ADS,braintumor,2x2,41.364,0.969,0.98,0.031
AQIR-NoGrad,braintumor,2x2,44.609,0.987,0.98,0.013
AQIR-FixedRot,braintumor,2x2,7.769,0.329,0.98,0.671
AQIR-Deep,braintumor,2x2,51.141,0.996,0.98,0.004
AQIR-ADS,braintumor,4x4,29.746,0.924,0.887,0.076
AQIR-NoGrad,braintumor,4x4,32.456,0.952,0.887,0.048
AQIR-FixedRot,braintumor,4x4,7.4,0.071,0.887,0.929
AQIR-Deep,braintumor,4x4,28.664,0.894,0.887,0.106
AQIR-ADS,braintumor,2x2,43.36,0.957,0.98,0.043
AQIR-NoGrad,braintumor,2x2,42.69,0.977,0.98,0.023
AQIR-FixedRot,braintumor,2x2,7.895,0.344,0.98,0.656
AQIR-Deep,braintumor,2x2,38.354,0.852,0.98,0.148
AQIR-ADS,braintumor,4x4,32.023,0.959,0.887,0.041
AQIR-NoGrad,braintumor,4x4,32.427,0.958,0.887,0.042
AQIR-FixedRot,braintumor,4x4,7.376,0.07,0.887,0.93
AQIR-Deep,braintumor,4x4,25.274,0.853,0.887,0.147
AQIR-ADS,braintumor,2x2,44.609,0.973,0.98,0.027
AQIR-NoGrad,braintumor,2x2,46.37,0.991,0.98,0.009
AQIR-FixedRot,braintumor,2x2,7.789,0.317,0.98,0.683
AQIR-Deep,braintumor,2x2,37.076,0.857,0.98,0.143
AQIR-ADS,braintumor,4x4,28.705,0.93,0.887,0.07
AQIR-NoGrad,braintumor,4x4,32.946,0.967,0.887,0.033
AQIR-FixedRot,braintumor,4x4,7.507,-0.047,0.887,1.047
AQIR-Deep,braintumor,4x4,26.264,0.861,0.887,0.139
AQIR-ADS,braintumor,2x2,46.37,0.98,0.98,0.02
AQIR-NoGrad,braintumor,2x2,45.7,0.981,0.98,0.019
AQIR-FixedRot,braintumor,2x2,7.747,0.317,0.98,0.683
AQIR-Deep,braintumor,2x2,38.711,0.893,0.98,0.107
AQIR-ADS,braintumor,4x4,29.033,0.936,0.887,0.064
AQIR-NoGrad,braintumor,4x4,31.599,0.96,0.887,0.04
AQIR-FixedRot,braintumor,4x4,7.567,0.069,0.887,0.931
AQIR-Deep,braintumor,4x4,26.155,0.845,0.887,0.155
AQIR-ADS,braintumor,2x2,47.162,0.989,0.98,0.011
AQIR-NoGrad,braintumor,2x2,43.737,0.98,0.98,0.02
AQIR-FixedRot,braintumor,2x2,7.913,0.336,0.98,0.664
AQIR-Deep,braintumor,2x2,37.919,0.89,0.98,0.11
AQIR-ADS,braintumor,4x4,33.369,0.981,0.887,0.019
AQIR-NoGrad,braintumor,4x4,33.563,0.979,0.887,0.021
AQIR-FixedRot,braintumor,4x4,7.921,0.105,0.887,0.895
AQIR-Deep,braintumor,4x4,25.446,0.871,0.887,0.129
AQIR-ADS,braintumor,2x2,42.39,0.969,0.98,0.031
AQIR-NoGrad,braintumor,2x2,44.609,0.969,0.98,0.031
AQIR-FixedRot,braintumor,2x2,8.128,0.352,0.98,0.648
AQIR-Deep,braintumor,2x2,45.7,0.979,0.98,0.021
AQIR-ADS,braintumor,4x4,29.676,0.933,0.887,0.067
AQIR-NoGrad,braintumor,4x4,34.261,0.972,0.887,0.028
AQIR-FixedRot,braintumor,4x4,8.3,0.066,0.887,0.934
AQIR-Deep,braintumor,4x4,29.276,0.935,0.887,0.065
AQIR-ADS,braintumor,2x2,51.141,0.993,0.98,0.007
AQIR-NoGrad,braintumor,2x2,41.599,0.946,0.98,0.054
AQIR-FixedRot,braintumor,2x2,7.602,0.282,0.98,0.718
AQIR-Deep,braintumor,2x2,40.534,0.929,0.98,0.071
AQIR-ADS,braintumor,4x4,28.973,0.887,0.887,0.113
AQIR-NoGrad,braintumor,4x4,31.41,0.929,0.887,0.071
AQIR-FixedRot,braintumor,4x4,7.301,0.05,0.887,0.95
AQIR-Deep,braintumor,4x4,23.125,0.745,0.887,0.255
AQIR-ADS,braintumor,2x2,46.37,0.983,0.98,0.017
AQIR-NoGrad,braintumor,2x2,41.847,0.98,0.98,0.02
AQIR-FixedRot,braintumor,2x2,7.601,0.279,0.98,0.721
AQIR-Deep,braintumor,2x2,46.37,0.982,0.98,0.018
AQIR-ADS,braintumor,4x4,29.337,0.907,0.887,0.093
AQIR-NoGrad,braintumor,4x4,33.105,0.955,0.887,0.045
AQIR-FixedRot,braintumor,4x4,7.409,0.044,0.887,0.956
AQIR-Deep,braintumor,4x4,25.182,0.805,0.887,0.195
AQIR-ADS,braintumor,2x2,51.141,0.996,0.98,0.004
AQIR-NoGrad,braintumor,2x2,41.599,0.989,0.98,0.011
AQIR-FixedRot,braintumor,2x2,7.955,0.322,0.98,0.678
AQIR-Deep,braintumor,2x2,45.7,0.983,0.98,0.017
AQIR-ADS,braintumor,4x4,29.782,0.926,0.887,0.074
AQIR-NoGrad,braintumor,4x4,32.486,0.958,0.887,0.042
AQIR-FixedRot,braintumor,4x4,7.671,-0.008,0.887,1.008
AQIR-Deep,braintumor,4x4,26.051,0.84,0.887,0.16
AQIR-ADS,braintumor,2x2,43.36,0.968,0.98,0.032
AQIR-NoGrad,braintumor,2x2,42.69,0.957,0.98,0.043
