Variant,Dataset,Resolution,PSNR,SSIM,GateFidelity,InformationLoss
AQIR-FixedRot,braintumor,2x2,9.362,0.522,0.98,0.478
AQIR-Deep,braintumor,2x2,41.599,0.992,0.98,0.008
AQIR-ADS,braintumor,4x4,31.201,0.964,0.887,0.036
AQIR-NoGrad,braintumor,4x4,32.369,0.963,0.887,0.037
AQIR-FixedRot,braintumor,4x4,8.938,0.074,0.887,0.926
AQIR-Deep,braintumor,4x4,29.641,0.946,0.887,0.054
AQIR-ADS,braintumor,2x2,46.37,0.996,0.98,0.004
AQIR-NoGrad,braintumor,2x2,47.162,0.996,0.98,0.004
AQIR-FixedRot,braintumor,2x2,8.388,0.164,0.98,0.836
AQIR-Deep,braintumor,2x2,41.141,0.983,0.98,0.017
AQIR-ADS,braintumor,4x4,31.002,0.968,0.887,0.032
AQIR-NoGrad,braintumor,4x4,30.883,0.96,0.887,0.04
AQIR-FixedRot,braintumor,4x4,8.042,0.039,0.887,0.961
AQIR-Deep,braintumor,4x4,24.8,0.881,0.887,0.119
AQIR-ADS,braintumor,2x2,47.162,0.997,0.98,0.003
AQIR-NoGrad,braintumor,2x2,40.929,0.977,0.98,0.023
AQIR-FixedRot,braintumor,2x2,8.437,0.156,0.98,0.844
AQIR-Deep,braintumor,2x2,51.141,0.998,0.98,0.002
AQIR-ADS,braintumor,4x4,30.168,0.964,0.887,0.036
AQIR-NoGrad,braintumor,4x4,31.087,0.959,0.887,0.041
AQIR-FixedRot,braintumor,4x4,8.318,0.108,0.887,0.892
AQIR-Deep,braintumor,4x4,22.399,0.833,0.887,0.167
AQIR-ADS,braintumor,2x2,51.141,0.999,0.98,0.001
AQIR-NoGrad,braintumor,2x2,42.69,0.994,0.98,0.006
AQIR-FixedRot,braintumor,2x2,8.851,0.192,0.98,0.808
AQIR-Deep,braintumor,2x2,40.534,0.995,0.98,0.005
AQIR-ADS,braintumor,4x4,29.252,0.965,0.887,0.035
AQIR-NoGrad,braintumor,4x4,30.331,0.965,0.887,0.035
AQIR-FixedRot,braintumor,4x4,8.416,-0.006,0.887,1.006
AQIR-Deep,braintumor,4x4,23.407,0.873,0.887,0.127
AQIR-ADS,braintumor,2x2,44.609,0.997,0.98,0.003
AQIR-NoGrad,braintumor,2x2,46.37,0.998,0.98,0.002
AQIR-FixedRot,braintumor,2x2,9.096,0.251,0.98,0.749
AQIR-Deep,braintumor,2x2,38.354,0.967,0.98,0.033
AQIR-ADS,braintumor,4x4,30.683,0.97,0.887,0.03
AQIR-NoGrad,braintumor,4x4,30.172,0.96,0.887,0.04
AQIR-FixedRot,braintumor,4x4,8.466,-0.008,0.887,1.008
AQIR-Deep,braintumor,4x4,23.715,0.845,0.887,0.155
AQIR-ADS,braintumor,2x2,40.727,0.987,0.98,0.013
AQIR-NoGrad,braintumor,2x2,46.37,0.996,0.98,0.004
AQIR-FixedRot,braintumor,2x2,9.079,0.195,0.98,0.805
AQIR-Deep,braintumor,2x2,41.599,0.987,0.98,0.013
AQIR-ADS,braintumor,4x4,30.069,0.968,0.887,0.032
AQIR-NoGrad,braintumor,4x4,29.778,0.959,0.887,0.041
AQIR-FixedRot,braintumor,4x4,8.915,0.088,0.887,0.912
AQIR-Deep,braintumor,4x4,24.131,0.895,0.887,0.105
AQIR-ADS,braintumor,2x2,46.37,0.996,0.98,0.004
AQIR-NoGrad,braintumor,2x2,44.609,0.988,0.98,0.012
AQIR-FixedRot,braintumor,2x2,8.196,0.232,0.98,0.768
AQIR-Deep,braintumor,2x2,37.817,0.953,0.98,0.047
AQIR-ADS,braintumor,4x4,31.296,0.955,0.887,0.045
AQIR-NoGrad,braintumor,4x4,33.165,0.966,0.887,0.034
AQIR-FixedRot,braintumor,4x4,7.78,0.115,0.887,0.885
AQIR-Deep,braintumor,4x4,22.421,0.758,0.887,0.242
AQIR-ADS,braintumor,2x2,44.609,0.988,0.98,0.012
AQIR-NoGrad,braintumor,2x2,47.162,0.982,0.98,0.018
AQIR-FixedRot,braintumor,2x2,8.831,0.491,0.98,0.509
AQIR-Deep,braintumor,2x2,35.578,0.768,0.98,0.232
AQIR-ADS,braintumor,4x4,31.245,0.956,0.887,0.044
AQIR-NoGrad,braintumor,4x4,31.285,0.952,0.887,0.048
AQIR-FixedRot,braintumor,4x4,8.839,0.155,0.887,0.845
AQIR-Deep,braintumor,4x4,23.493,0.76,0.887,0.24
AQIR-ADS,braintumor,2x2,54.151,0.997,0.98,0.003
AQIR-NoGrad,braintumor,2x2,42.39,0.947,0.98,0.053
AQIR-FixedRot,braintumor,2x2,8.997,0.5,0.98,0.5
AQIR-Deep,braintumor,2x2,38.024,0.886,0.98,0.114
AQIR-ADS,braintumor,4x4,30.737,0.962,0.887,0.038
AQIR-NoGrad,braintumor,4x4,31.13,0.959,0.887,0.041
AQIR-FixedRot,braintumor,4x4,8.742,0.192,0.887,0.808
AQIR-Deep,braintumor,4x4,23.654,0.783,0.887,0.217
AQIR-ADS,braintumor,2x2,46.37,0.979,0.98,0.021
AQIR-NoGrad,braintumor,2x2,40.002,0.898,0.98,0.102
AQIR-FixedRot,braintumor,2x2,8.76,0.476,0.98,0.524
AQIR-Deep,braintumor,2x2,51.141,0.992,0.98,0.008
AQIR-ADS,braintumor,4x4,31.623,0.968,0.887,0.032
AQIR-NoGrad,braintumor,4x4,30.483,0.95,0.887,0.05
AQIR-FixedRot,braintumor,4x4,8.415,0.072,0.887,0.928
AQIR-Deep,braintumor,4x4,25.825,0.875,0.887,0.125
AQIR-ADS,braintumor,2x2,47.162,0.98,0.98,0.02
AQIR-NoGrad,braintumor,2x2,41.599,0.938,0.98,0.062
AQIR-FixedRot,braintumor,2x2,8.394,0.429,0.98,0.571
AQIR-Deep,braintumor,2x2,39.68,0.921,0.98,0.079
AQIR-ADS,braintumor,4x4,29.413,0.943,0.887,0.057
AQIR-NoGrad,braintumor,4x4,30.189,0.939,0.887,0.061
AQIR-FixedRot,braintumor,4x4,8.066,-0.087,0.887,1.087
AQIR-Deep,braintumor,4x4,25.56,0.839,0.887,0.161
AQIR-ADS,braintumor,2x2,40.349,0.923,0.98,0.077
AQIR-NoGrad,braintumor,2x2,45.7,0.973,0.98,0.027
AQIR-FixedRot,braintumor,2x2,8.855,0.508,0.98,0.492
AQIR-Deep,braintumor,2x2,40.727,0.973,0.98,0.027
AQIR-ADS,braintumor,4x4,26.683,0.907,0.887,0.093
AQIR-NoGrad,braintumor,4x4,30.295,0.934,0.887,0.066
AQIR-FixedRot,braintumor,4x4,8.339,0.074,0.887,0.926
AQIR-Deep,braintumor,4x4,25.404,0.784,0.887,0.216
AQIR-ADS,braintumor,2x2,46.37,0.98,0.98,0.02
AQIR-NoGrad,braintumor,2x2,51.141,0.996,0.98,0.004
AQIR-FixedRot,braintumor,2x2,8.926,0.509,0.98,0.491
AQIR-Deep,braintumor,2x2,36.827,0.927,0.98,0.073
AQIR-ADS,braintumor,4x4,29.103,0.935,0.887,0.065
AQIR-NoGrad,braintumor,4x4,31.093,0.948,0.887,0.052
AQIR-FixedRot,braintumor,4x4,8.763,0.085,0.887,0.915
AQIR-Deep,braintumor,4x4,28.213,0.894,0.887,0.106
AQIR-ADS,braintumor,2x2,49.38,0.99,0.98,0.01
AQIR-NoGrad,braintumor,2x2,49.38,0.997,0.98,0.003
AQIR-FixedRot,braintumor,2x2,9.02,0.498,0.98,0.502
AQIR-Deep,braintumor,2x2,41.141,0.931,0.98,0.069
AQIR-ADS,braintumor,4x4,28.891,0.948,0.887,0.052
AQIR-NoGrad,braintumor,4x4,30.534,0.951,0.887,0.049
AQIR-FixedRot,braintumor,4x4,8.516,0.01,0.887,0.99
AQIR-Deep,braintumor,4x4,26.463,0.869,0.887,0.131
AQIR-ADS,braintumor,2x2,40.929,0.927,0.98,0.073
AQIR-NoGrad,braintumor,2x2,43.012,0.995,0.98,0.005
AQIR-FixedRot,braintumor,2x2,8.483,0.421,0.98,0.579
AQIR-Deep,braintumor,2x2,34.42,0.754,0.98,0.246
AQIR-ADS,braintumor,4x4,31.873,0.953,0.887,0.047
AQIR-NoGrad,braintumor,4x4,29.634,0.918,0.887,0.082
AQIR-FixedRot,braintumor,4x4,8.175,0.134,0.887,0.866
AQIR-Deep,braintumor,4x4,24.486,0.799,0.887,0.201
AQIR-ADS,braintumor,2x2,45.121,0.983,0.98,0.017
AQIR-NoGrad,braintumor,2x2,43.012,0.973,0.98,0.027
AQIR-FixedRot,braintumor,2x2,8.108,0.378,0.98,0.622
AQIR-Deep,braintumor,2x2,45.121,0.97,0.98,0.03
AQIR-ADS,braintumor,4x4,29.607,0.898,0.887,0.102
AQIR-NoGrad,braintumor,4x4,29.52,0.88,0.887,0.12
AQIR-FixedRot,braintumor,4x4,8.075,0.087,0.887,0.913
AQIR-Deep,braintumor,4x4,26.002,0.801,0.887,0.199
AQIR-ADS,braintumor,2x2,42.39,0.979,0.98,0.021
AQIR-NoGrad,braintumor,2x2,48.131,0.99,0.98,0.01
AQIR-FixedRot,braintumor,2x2,7.517,0.237,0.98,0.763
AQIR-Deep,braintumor,2x2,39.527,0.96,0.98,0.04
AQIR-ADS,braintumor,4x4,35.858,0.983,0.887,0.017
AQIR-NoGrad,braintumor,4x4,32.297,0.963,0.887,0.037
AQIR-FixedRot,braintumor,4x4,7.045,-0.04,0.887,1.04
AQIR-Deep,braintumor,4x4,28.888,0.924,0.887,0.076
AQIR-ADS,braintumor,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,braintumor,2x2,44.609,0.992,0.98,0.008
AQIR-FixedRot,braintumor,2x2,7.818,0.21,0.98,0.79
AQIR-Deep,braintumor,2x2,42.39,0.991,0.98,0.009
AQIR-ADS,braintumor,4x4,32.897,0.974,0.887,0.026
AQIR-NoGrad,braintumor,4x4,32.234,0.969,0.887,0.031
AQIR-FixedRot,braintumor,4x4,7.412,0.046,0.887,0.954
AQIR-Deep,braintumor,4x4,24.143,0.829,0.887,0.171
AQIR-ADS,braintumor,2x2,42.39,0.952,0.98,0.048
AQIR-NoGrad,braintumor,2x2,43.737,0.984,0.98,0.016
AQIR-FixedRot,braintumor,2x2,7.657,0.234,0.98,0.766
AQIR-Deep,braintumor,2x2,39.68,0.984,0.98,0.016
AQIR-ADS,braintumor,4x4,33.235,0.971,0.887,0.029
AQIR-NoGrad,braintumor,4x4,32.808,0.966,0.887,0.034
AQIR-FixedRot,braintumor,4x4,7.543,0.137,0.887,0.863
AQIR-Deep,braintumor,4x4,24.804,0.813,0.887,0.187
AQIR-ADS,braintumor,2x2,42.39,0.964,0.98,0.036
AQIR-NoGrad,braintumor,2x2,45.7,0.986,0.98,0.014
AQIR-FixedRot,braintumor,2x2,7.826,0.277,0.98,0.723
AQIR-Deep,braintumor,2x2,51.141,0.994,0.98,0.006
AQIR-ADS,braintumor,4x4,28.914,0.916,0.887,0.084
AQIR-NoGrad,braintumor,4x4,31.672,0.944,0.887,0.056
AQIR-FixedRot,braintumor,4x4,7.692,0.092,0.887,0.908
AQIR-Deep,braintumor,4x4,27.031,0.857,0.887,0.143
AQIR-ADS,braintumor,2x2,41.141,0.957,0.98,0.043
AQIR-NoGrad,braintumor,2x2,44.609,0.968,0.98,0.032
AQIR-FixedRot,braintumor,2x2,7.935,0.335,0.98,0.665
AQIR-Deep,braintumor,2x2,37.162,0.819,0.98,0.181
AQIR-ADS,braintumor,4x4,29.557,0.929,0.887,0.071
AQIR-NoGrad,braintumor,4x4,30.553,0.93,0.887,0.07
AQIR-FixedRot,braintumor,4x4,7.736,0.067,0.887,0.933
AQIR-Deep,braintumor,4x4,24.063,0.765,0.887,0.235
AQIR-ADS,braintumor,2x2,47.162,0.992,0.98,0.008
AQIR-NoGrad,braintumor,2x2,43.36,0.979,0.98,0.021
AQIR-FixedRot,braintumor,2x2,8.366,0.346,0.98,0.654
AQIR-Deep,braintumor,2x2,42.39,0.968,0.98,0.032
AQIR-ADS,braintumor,4x4,30.717,0.953,0.887,0.047
AQIR-NoGrad,braintumor,4x4,33.423,0.973,0.887,0.027
AQIR-FixedRot,braintumor,4x4,8.199,0.115,0.887,0.885
AQIR-Deep,braintumor,4x4,24.848,0.783,0.887,0.217
AQIR-ADS,braintumor,2x2,47.162,0.991,0.98,0.009
AQIR-NoGrad,braintumor,2x2,44.151,0.995,0.98,0.005
AQIR-FixedRot,braintumor,2x2,8.274,0.289,0.98,0.711
AQIR-Deep,braintumor,2x2,40.002,0.932,0.98,0.068
AQIR-ADS,braintumor,4x4,27.586,0.913,0.887,0.087
AQIR-NoGrad,braintumor,4x4,31.74,0.947,0.887,0.053
AQIR-FixedRot,braintumor,4x4,8.05,-0.012,0.887,1.012
AQIR-Deep,braintumor,4x4,25.404,0.839,0.887,0.161
AQIR-ADS,braintumor,2x2,46.37,0.98,0.98,0.02
AQIR-NoGrad,braintumor,2x2,46.37,0.981,0.98,0.019
AQIR-FixedRot,braintumor,2x2,7.808,0.297,0.98,0.703
AQIR-Deep,braintumor,2x2,36.909,0.843,0.98,0.157
AQIR-ADS,braintumor,4x4,30.095,0.953,0.887,0.047
AQIR-NoGrad,braintumor,4x4,31.196,0.957,0.887,0.043
AQIR-FixedRot,braintumor,4x4,7.385,0.034,0.887,0.966
AQIR-Deep,braintumor,4x4,24.643,0.862,0.887,0.138
AQIR-ADS,braintumor,2x2,46.37,0.981,0.98,0.019
AQIR-NoGrad,braintumor,2x2,47.162,0.99,0.98,0.01
AQIR-FixedRot,braintumor,2x2,7.748,0.329,0.98,0.671
AQIR-Deep,braintumor,2x2,39.38,0.977,0.98,0.023
AQIR-ADS,braintumor,4x4,28.814,0.931,0.887,0.069
AQIR-NoGrad,braintumor,4x4,36.21,0.984,0.887,0.016
AQIR-FixedRot,braintumor,4x4,7.641,0.153,0.887,0.847
AQIR-Deep,braintumor,4x4,26.646,0.872,0.887,0.128
AQIR-ADS,braintumor,2x2,43.012,0.952,0.98,0.048
AQIR-NoGrad,braintumor,2x2,44.151,0.966,0.98,0.034
AQIR-FixedRot,braintumor,2x2,7.809,0.326,0.98,0.674
AQIR-Deep,braintumor,2x2,38.024,0.884,0.98,0.116
AQIR-ADS,braintumor,4x4,30.511,0.941,0.887,0.059
AQIR-NoGrad,braintumor,4x4,32.995,0.966,0.887,0.034
AQIR-FixedRot,braintumor,4x4,7.516,0.117,0.887,0.883
AQIR-Deep,braintumor,4x4,22.734,0.782,0.887,0.218
AQIR-ADS,braintumor,2x2,44.151,0.979,0.98,0.021
AQIR-NoGrad,braintumor,2x2,49.38,0.99,0.98,0.01
AQIR-FixedRot,braintumor,2x2,8.192,0.345,0.98,0.655
AQIR-Deep,braintumor,2x2,39.38,0.978,0.98,0.022
AQIR-ADS,braintumor,4x4,30.044,0.948,0.887,0.052
AQIR-NoGrad,braintumor,4x4,28.607,0.9,0.887,0.1
AQIR-FixedRot,braintumor,4x4,7.648,0.094,0.887,0.906
AQIR-Deep,braintumor,4x4,26.016,0.876,0.887,0.124
AQIR-ADS,braintumor,2x2,43.36,0.989,0.98,0.011
AQIR-NoGrad,braintumor,2x2,49.38,0.991,0.98,0.009
AQIR-FixedRot,braintumor,2x2,8.302,0.382,0.98,0.618
AQIR-Deep,braintumor,2x2,43.36,0.973,0.98,0.027
AQIR-ADS,braintumor,4x4,30.837,0.964,0.887,0.036
AQIR-NoGrad,braintumor,4x4,30.422,0.954,0.887,0.046
AQIR-FixedRot,braintumor,4x4,8.362,0.029,0.887,0.971
AQIR-Deep,braintumor,4x4,27.709,0.917,0.887,0.083
AQIR-ADS,braintumor,2x2,47.162,0.99,0.98,0.01
AQIR-NoGrad,braintumor,2x2,44.151,0.98,0.98,0.02
AQIR-FixedRot,braintumor,2x2,8.416,0.407,0.98,0.593
AQIR-Deep,braintumor,2x2,38.469,0.971,0.98,0.029
AQIR-ADS,braintumor,4x4,29.622,0.947,0.887,0.053
AQIR-NoGrad,braintumor,4x4,29.956,0.943,0.887,0.057
AQIR-FixedRot,braintumor,4x4,8.06,0.015,0.887,0.985
AQIR-Deep,braintumor,4x4,25.207,0.864,0.887,0.136
AQIR-ADS,braintumor,2x2,51.141,0.994,0.98,0.006
